Metric,Value,p_value,CI_lower,CI_upper
Pearson r,-0.30621575964717185,0.21651424286102816,,
Spearman ρ,-0.3578886314349579,0.14478493717923432,,
Regression slope,-0.0028363269888855335,,-0.007180220420611087,0.0009539119366441134
Regression intercept,1.7582112293058645,,1.5034060367978295,2.060699911631607
R²,0.09376809145629483,,,
RMSE,0.23958162200146865,,,
Cohen's d,-1.5053465040954213,,,
