Quantum_Coverage_%,Approx_Ratio_vs_LKH3,Label
100.0,1.2519126045006348,8-port default
57.142857142857146,1.289086928371442,8-port K=4
85.71428571428571,1.276367454267534,8-port K=6
100.0,1.2596746581619302,8-port K=8
100.0,1.7154594500366536,12-port default
36.36363636363637,1.520538033073385,12-port K=4
54.54545454545454,1.3095380182678624,12-port K=6
72.72727272727273,1.4734846472102567,12-port K=8
90.90909090909092,1.5119710831669915,12-port K=10
100.0,1.752576287153423,12-port K=12
53.333333333333336,1.9702057272631903,16-port default
26.666666666666668,1.684046575715481,16-port K=4
40.0,1.7971580329295966,16-port K=6
53.333333333333336,1.9025145188862893,16-port K=8
42.10526315789474,2.002527900510671,20-port default
21.05263157894737,1.3376612475328757,20-port K=4
31.57894736842105,1.6299456513180506,20-port K=6
42.10526315789474,1.8217918373617512,20-port K=8
