Noise_Level_p,Mean_Cost_km,Std_Dev_km,Approx_Ratio_vs_LKH3
0.001,48143.3,979.2,1.125
0.005,48143.3,979.2,1.125
0.01,48143.3,979.2,1.125
0.02,48143.3,979.2,1.125
0.05,49784.8,2513.2,1.163
