Noise_Level_p,Mean_Cost_km,Std_Dev_km,Approx_Ratio_vs_LKH3
0.001,89431.9,16648.1,1.396
0.005,89431.9,16648.1,1.396
0.01,89431.9,16648.1,1.396
0.02,89431.9,16648.1,1.396
0.05,84615.5,18536.3,1.321
