Noise_Level_p,Mean_Cost_km,Std_Dev_km,Approx_Ratio_vs_LKH3
0.001,66523.8,13680.9,1.328
0.005,66523.8,13680.9,1.328
0.01,66523.8,13680.9,1.328
0.02,66523.8,13680.9,1.328
0.05,71275.4,13642.6,1.422
