Layers,Alpha,Cost_km,Approx_Ratio_vs_LKH3
1,0.0,126871.46849574146,1.980282097061198
1,0.3,126871.46849574146,1.980282097061198
1,0.5,143036.0056996742,2.2325873947909405
1,0.7,90298.93370861633,1.4094371565730794
2,0.0,104051.43953344364,1.6240940955802092
2,0.3,104051.44570196151,1.6240941918619471
2,0.5,120970.02786927803,1.8881690525917285
2,0.7,120970.02786927803,1.8881690525917285
3,0.0,114678.62521055172,1.789969258751578
3,0.3,128296.69864638046,2.002527900510671
3,0.5,128296.69864638046,2.002527900510671
3,0.7,128296.69864638046,2.002527900510671
4,0.0,131246.56130316568,2.0485710359554004
4,0.3,132230.61610988565,2.063930723514625
4,0.5,116066.07890595295,1.8116254257848832
4,0.7,113472.64764756459,1.7711456744914096
