Seed,Cost_km,Q_Decisions,C_Decisions,Q_Influence_%
89250,76117.02288480074,8,7,53.333333333333336
773956,114845.22289262405,8,7,53.333333333333336
654571,118566.83696705796,8,7,53.333333333333336
438878,76117.02288480075,8,7,53.333333333333336
433015,114824.26460176085,8,7,53.333333333333336
858597,81902.81899598424,8,7,53.333333333333336
85945,113475.6089588273,8,7,53.333333333333336
697368,118496.22783515649,8,7,53.333333333333336
MEAN,101793.1,,,
STD,18544.4,,,
