MAX_QUBITS,Mean_Cost_km,Std_Dev_km,Approx_Ratio_vs_LKH3,Q_Influence_%
4,76194.1,8256.6,1.521,36.4
6,65620.9,10185.0,1.31,54.5
8,73836.2,2544.8,1.473,72.7
10,75764.8,8174.5,1.512,90.9
12,87821.5,2547.9,1.753,100.0
